id,imdb_id,title,year,actor1,actor2,actor3,country,director,genre1,genre2,genre3,plot,poster_url,rated,imdb_rating,rotten_tomatoes_rating,metacritic_rating,released,runtime,writer
11,tt1951264,The Hunger Games: Catching Fire,2013,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,United States,Francis Lawrence,Action,Adventure,Sci-Fi,"Twelve months after winning the 74th Hunger Games, Katniss Everdeen and her partner Peeta Mellark must go on what is known as the Victor's Tour, wherein they visit all the districts, but before leaving, Katniss is visited by President Snow who fears that Katniss defied him a year ago during the games when she chose to die with Peeta. With both Katniss and Peeta declared the winners, it is fueling a possible uprising. He tells Katniss that while on tour she better try to make sure that she puts out the flames or else everyone she cares about will be in danger.",https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,PG-13,7.5/10,90%,76/100,22 Nov 2013,146 min,"Simon Beaufoy, Michael Arndt, Suzanne Collins"
12,tt1951265,The Hunger Games: Mockingjay - Part 1,2014,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,"United States, Canada, France",Francis Lawrence,Action,Adventure,Sci-Fi,"With the Games destroyed, Katniss Everdeen, along with Gale, Finnick and Beetee, end up in the so thought ""destroyed"" District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the ""Mockingjay"", the symbol of rebellion for the districts of Panem.",https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg,PG-13,6.6/10,69%,64/100,21 Nov 2014,123 min,"Peter Craig, Danny Strong, Suzanne Collins"
13,tt1951266,The Hunger Games: Mockingjay - Part 2,2015,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,"United States, Germany, Canada, France",Francis Lawrence,Action,Adventure,Sci-Fi,"After young Katniss Everdeen agrees to be the symbol of rebellion, the Mockingjay, she tries to return Peeta to his normal state, tries to get to the Capitol, and tries to deal with the battles coming her way...but all for her main goal: assassinating President Snow and returning peace to the Districts of Panem. As her squad starts to get smaller and smaller, will she make it to the Capitol? Will she get revenge on Snow or will her target change? Will she be with her ""Star-Crossed Lover,"" Peeta, or her long-time friend, Gale? Deaths, bombs, bow and arrows, a love triangle, hope... What will happen?",https://m.media-amazon.com/images/M/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_SX300.jpg,PG-13,6.6/10,69%,65/100,20 Nov 2015,137 min,"Peter Craig, Danny Strong, Suzanne Collins"
14,tt1951267,The Janitor Falsely Accused,1908,N/A,,,USA,N/A,Short,,,N/A,N/A,N/A,,,,12 Nov 1908,N/A,N/A
15,tt1951268,The Kill,2011,Jon Freund,Caleb McMullen,Peter Nelson,Canada,Marco Torralba,Short,Drama,,"On a camping trip in the middle of winter, an aging father's authority is challenged by his son.",N/A,N/A,,,,N/A,13 min,Marco Torralba
16,tt1951225,Radio Kings,2011,Alex Bickerton,Denton Branson,Greg Crawford,N/A,Michael Pharis,Comedy,Drama,,"Ryan Jones and Alvin Aikman are local radio superstars, but when harsh economic times forces their boss into a personnel change, they learn that every friendship has its breaking point.",https://m.media-amazon.com/images/M/MV5BMTk4MDE1MTkwN15BMl5BanBnXkFtZTcwNTM3MjU4NQ@@._V1_SX300.jpg,N/A,,,,N/A,1 h 35 min,Michael Pharis
17,tt1951300,Varese Va,2008,Memo Remigi,,,Italy,Max Leonida,Musical,,,A film that's a musical journey through the beauty of Varese.,N/A,N/A,,,,24 May 2008,63 min,Memo Remigi
18,tt1951205,Nora Hammond and the Magical Toothbrush,2010,Becca Battoe,Liam Fountain,Lynne Jacobellis,N/A,Lynne Jacobellis,Short,Comedy,,"Nora Hammond goes on a magical quest and the only person that stands between her and eternal beauty is the Evil Supermodel Brittany, who holds the key to Nora's happiness...or at least the beginning of her wild adventures in the Inland Empire!",N/A,N/A,,,,N/A,N/A,"Lynne Jacobellis, Charlotte Marie"
19,tt1965489,Wade McElwain: Life Goes On,1998,N/A,,,N/A,Allan Manson,Comedy,,,N/A,N/A,N/A,4.5/10,,,27 Dec 1998,N/A,N/A
20,tt0120915,Star Wars: Episode I - The Phantom Menace,1999,Ewan McGregor,Liam Neeson,Natalie Portman,United States,George Lucas,Action,Adventure,Fantasy,"The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy?",https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG,6.5/10,52%,51/100,19 May 1999,136 min,George Lucas
21,tt0120917,The Emperor's New Groove,2000,David Spade,John Goodman,Eartha Kitt,"United States, Japan, France",Mark Dindal,Animation,Adventure,Comedy,"In this animated comedy from the folks at Disney, the vain and cocky Emperor Kuzco (David Spade) is a very busy man. Besides maintaining his ""groove"", and firing his suspicious administrator, Yzma (Eartha Kitt), he's also planning to build a new waterpark just for himself for his birthday. However, this means destroying one of the villages in his kingdom. Meanwhile, Yzma is hatching a plan to get revenge and usurp the throne. But, in a botched assassination courtesy of Yzma's right-hand man, Kronk (Patrick Warburton), Kuzco is magically transformed into a llama. Now, Kuzco finds himself the property of Pacha, a lowly llama herder whose home is ground zero for the water park. Upon discovering the llama's true self, Pacha offers to help resolve the Emperor's problem and regain his throne, only if he promises to move his water park.",https://m.media-amazon.com/images/M/MV5BMjFkMzk2OWUtNjFmZC00ZTJhLTlkNGYtYjc2YWNkNmJmNzczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,G,7.4/10,86%,70/100,15 Dec 2000,78 min,"Chris Williams, Mark Dindal, David Reynolds"
22,tt0111944,Drei Mann im Bett,1994,Luitgard Im,Gerd Baltus,René Heinersdorff,Germany,N/A,Comedy,,,N/A,N/A,N/A,,,,15 Mar 1994,N/A,N/A
23,tt0120919,Almorzando con Mirtha Legrand,1968,Mirtha Legrand,Nelly Trenti,Juana Viale,Argentina,N/A,Talk-Show,,,Probably the most famous talk show in Argentina with an original format. They invite famous people to debate about politics and other topics. Hosted by Mirtha Legrand (born in 1927),https://m.media-amazon.com/images/M/MV5BM2YwZTI0ZGYtMmM2MC00NjkwLWE0OGQtMjE5Njc2NzNjODMyXkEyXkFqcGdeQXVyMTk0NjE5NzY@._V1_SX300.jpg,N/A,4.7/10,,,03 Jun 1968,N/A,Alejandro Romay
24,tt0120920,Wonder 3,1965,Bobbie Byers,Neil Patrick,Paul Brown,Japan,N/A,Animation,Sci-Fi,,"Three aliens are sent to Earth by the Galactic Congress to decide if it should be destroyed to protect universal peace from mankind's warlike ways. The three assume disguises as animals; Bonnie a rabbit, Ronnie a horse, and Zero a duck. They befriend a young earth boy named Kenny, and become involved with his older brother, Randy, who is a secret agent fighting international crime.",https://m.media-amazon.com/images/M/MV5BMTY5MmMyNjUtMGZiZC00YjJiLTgxOWUtNzg4NTBlYmNiMTY3XkEyXkFqcGdeQXVyODU5ODY0ODc@._V1_SX300.jpg,TV-G,7.4/10,,,06 Jun 1965,25 min,N/A
25,tt0120850,Superstitious,1999,N/A,,,USA,N/A,Thriller,,,"A horror tale on campus starring Sara Morgan, a psychology student who marries Liam Morgan, a visiting professor of folklore. At first she is amused by his interest in the supernatural, but amusement turns to terror when mutilation murders of women begin.",N/A,PG-13,6.4/10,,,N/A,N/A,R.L. Stine (novel)
26,tt0122213,Pigen fra Egborg,1969,Dirch Passer,Sisse Reingaard,Willy Rathnov,Denmark,Carl Ottosen,Comedy,,,"Young and handsome John Soegaard, meets another John Soegaard, a merchant marine cook, on leave from a whaler. Bearers of the same name, they strike up a friendship and wind up on a large country estate where both are wooed by the caretaker's pretty daughter, who mistakes the young man for a field hand and the cook for the returned-from-abroad owner of the estate.",https://m.media-amazon.com/images/M/MV5BN2Q2NjVkOGYtMzhjNy00YTk5LTg2OWYtOGRiNTk3OTQ4YmVkXkEyXkFqcGdeQXVyMTAwNzIyMzAy._V1_SX300.jpg,N/A,6.1/10,,,12 Sep 1969,101 min,Carl Ottosen
27,tt0124563,First Time at Cherry High,1984,Tanya Lawson,Renee Summers,Valerie LaVeaux,United States,Erica Havens,Adult,,,"Unadulterated schoolgirl fun 'n' fluff in one of the more palatable '80s approximations of acknowledged carnal classic LITTLE GIRLS BLUE. Striking similarities ? which might, of course, amount to little more than plagiarism ? lead one to believe that director ""Eve Milan"" might be another alias for filmmaker Joanna Williams, herself rumored to be former sexploitation siren Ann Myers, even though the franchise's semi-official third installment (the Hans Christian helmed LOOSE TIMES AT RIDLEY HIGH) suggests considerable pro-active involvement at least from its legendary producer William Dancer. Either way, the Milan credit has only appeared on two other movies, presumably shot simultaneously since they all star elusive Tanya Lawson along with several additional cross-over cast members, being FLASHPANTS and THE T&amp;A TEAM.Ms. Pepper's private finishing school for girls holds the reputation for marrying off its alluring alumni to the world's rich and powerful. The academic year drawing to a close, a proposal has yet to materialize however and the stern head mistress (New York actress Chelsea Blake, the pushy stage mom from Ron Sullivan's GREAT SEXPECTATIONS) promises passing grades in exchange for at least one wealthy wedding. Frizzy-haired Valerie LaVeaux (who played Juliet Anderson's teenage daughter and Shanna McCullough's sister in Stu Segall's INSATIABLE II) has the girl/girl wake up call with one shot Cathy Stevens. This dynamic duo subsequently takes on handyman Jerry Butler.Most of the girls lacking both skill and experience necessary to ensnare a potential husband, it's up to ringleader Lawson (Ron Jeremy's erstwhile girlfriend who found religion and quit the business) to instruct them in the pleasures of the flesh, resulting in a spectacular four femme pile-up on nerdy security guard David Scott in the school restroom, memorably scored with a funky instrumental rendition of Santa Claus is Coming to Town ! The future (and now sadly former) Mrs. Eric Edwards, pleasingly pudgy Rene Summers, makes a credible wide-eyed innocent hopelessly in love with computer geek Jesse Eastern. They finally consummate their mutual lust in the cloak room on prom night in an explosive release of pent-up passion. Even prim 'n' proper Ms. Pepper lets it all hang out with dashing Senator Weatherman, patron of the party and portrayed with pomposity worthy of PT by underrated Michael Gaunt. The bleached blond starlet on the pool table with Jeremy is fly by night Silver Starr, also in Sullivan's SEX SPA USA. Carol Cross, a surprisingly decent actress best known for her participation in Candida Royalle's early Femme releases, and future video vixen Natasha Skyler appear in non-sex bit parts.The much talked about group encounter with masked Mystery Lane (presumably a real life swinger) orally servicing a bunch of guys wearing the masks of US Presidents feels tagged on. Legend has it that none of the men were professional porn performers but eager volunteers chomping at the bit. Still, Jeremy's definitely in this scene and Alan Adrian just might be. The set-up sounds like a lot more fun than it actually plays out on screen. The film's opening tease, with Tanya spied upon through binoculars by across the street neighbor George Payne, is delivered upon in spades with their scorching subway number at the end.",N/A,X,6.3/10,,,N/A,82 min,Erica Havens
28,tt0127852,Sex Professionals,1994,Jasmine Aloha,Victoria Andrews,Nina Hartley,USA,Shawn Ricks,Adult,,,N/A,N/A,N/A,,,,N/A,73 min,N/A
29,tt0096969,Born on the Fourth of July,1989,Tom Cruise,Bryan Larkin,Raymond J. Barry,United States,Oliver Stone,Biography,Drama,War,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.",https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg,R,7.2/10,84%,75/100,05 Jan 1990,145 min,"Ron Kovic, Oliver Stone"
30,tt0117571,Scream,1996,Neve Campbell,Courteney Cox,David Arquette,United States,Wes Craven,Horror,Mystery,,"A year after her mother's death, Sidney Prescott (Neve Campbell) and her friends started experiencing some strange phone calls. They later learned the calls were coming from a crazed serial killer, in a white faced mask and a large black robe, looking for revenge. His phone calls usually consist of many questions, the main one being: What's your favorite scary movie? Along with much scary movie trivia, ending with bloody pieces of innocent lives scattered around the small town of Woodsboro.",https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg,R,7.4/10,81%,65/100,20 Dec 1996,111 min,Kevin Williamson
31,tt0383028,"Synecdoche, New York",2008,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,United States,Charlie Kaufman,Drama,,,"Theater director Caden Cotard is mounting a new play. Fresh off of a successful production of Death of a Salesman, he has traded in the suburban blue-hairs and regional theater of Schenectady for the cultured audiences and bright footlights of Broadway. Armed with a MacArthur grant and determined to create a piece of brutal realism and honesty, something into which he can put his whole self, he gathers an ensemble cast into a warehouse in Manhattan's theater district. He directs them in a celebration of the mundane, instructing each to live out their constructed lives in a small mock-up of the city outside. As the city inside the warehouse grows, Caden's own life veers wildly off the tracks. The shadow of his ex-wife Adele, a celebrated painter who left him years ago for Germany's art scene, sneers at him from every corner. Somewhere in Berlin, his daughter Olive is growing up under the questionable guidance of Adele's friend, Maria. He's helplessly driving his marriage to actress Claire into the ground. Sammy Barnathan, the actor Caden has hired to play himself within the play, is a bit too perfect for the part, and is making it difficult for Caden to revive his relationship with the alluringly candid Hazel. Meanwhile, his therapist, Madeline Gravis, is better at plugging her best-seller than she is at counselling him. His second daughter, Ariel, is disabled. And a mysterious condition is systematically shutting down each of his autonomic functions, one by one. As the years rapidly pass, Caden buries himself deeper into his masterpiece. Populating the cast and crew with doppelgangers, he steadily blurs the line between the world of the play and that of his own deteriorating reality. As he pushes the limits of his relationships, both personally and professionally, a change in creative direction arrives in Millicent Weems, a celebrated theater actress who may offer Caden the break he needs.",https://m.media-amazon.com/images/M/MV5BMjA0MjIyOTI3MF5BMl5BanBnXkFtZTcwODM5NTY5MQ@@._V1_SX300.jpg,R,7.5/10,69%,67/100,05 Feb 2009,124 min,Charlie Kaufman
33,tt8630924,Trust Me: A Witness Account of The Goatman,2018,Alexandra Bayless,Luke Cook,,United States,Nate Ruegger,Short,Horror,Thriller,A folk horror movie about a woman who follows her boyfriend into the woods for a romantic surprise only to find something far more sinister. Inspired by thousands of witness accounts documenting the ongoing phenomenon of a certain species of shape-shifting creature in the forests of North America.,https://m.media-amazon.com/images/M/MV5BZWIxZTY1OTQtZGFjMS00YWI1LWI3MzYtYzk4MzQ0OTI5YzJjXkEyXkFqcGdeQXVyMTQ5MDI1NzIx._V1_SX300.jpg,N/A,5.7/10,,,N/A,11 min,Leslie O'Neill
34,tt0117884,An Eyewitness Account,1997,Fabrizio Bentivoglio,Claudio Amendola,Arnaldo Ninchi,Italy,Pasquale Pozzessere,Crime,Drama,Thriller,"When Milanese salesman Piero witnesses the mob killing of a prominent magistrate, he testifies in court. The government puts him into the witness protection program, but the traumatic experiences he suffers leaves him wondering if he should have remained silent.",https://m.media-amazon.com/images/M/MV5BYWY1NWRkZDYtZTdhZC00MTUyLTlhYzEtZGY3MGIwZmQ2NjY0XkEyXkFqcGdeQXVyMDk2Mzc2MA@@._V1_SX300.jpg,N/A,6.5/10,,,07 Feb 1997,90 min,"Pietro Calderoni, Pasquale Pozzessere, Furio Scarpelli"
35,tt0455326,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,Dana Snyder,Dave Willis,Carey Means,"United States, Canada","Matt Maiellaro, Dave Willis",Animation,Action,Adventure,"The story begins in Egypt, where Master Shake, Frylock and Meatwad are being attacked by an oversize poodle, who kills Frylock before being destroyed by Shake. Shake and Meatwad drive off with Frylock's corpse, and meet Time Lincoln, who plans to revive Frylock; however, when the CIA break into his house, the Aqua Teens flee in his wooden rocket ship, and Time Lincoln is shot. This, however, is all revealed to be an elaborate story concocted by Shake to explain the ATHF's origin to Meatwad. Shake then explains to Meatwad that women are only attracted to great bodies, then heads off to work out on his new exercise machine, the Insane-O-Flex. Together, they go in search of a missing piece of an exercise machine that happens to be more than an exercise machine, placing them on a collision course with the likes of Oglethorpe and Emory, a pair of jagged, ridiculous creatures from the future who travel with a robot companion claiming to be the Ghost of Christmas Past. They also encounter Dr. Weird, a mad and evil scientist given to disguises and who seeks revenge against the Hunger Force; McPee Pants, a rapping spider who wears a shower cap and diaper; and the hilarious Ignignokt and Err, two-dimensional villains from the ancient days of Pokey, Atari video games.",https://m.media-amazon.com/images/M/MV5BMTc0OTQwNzYyNF5BMl5BanBnXkFtZTcwMDc5NTM0MQ@@._V1_SX300.jpg,R,6.7/10,49%,54/100,13 Apr 2007,86 min,"Matt Maiellaro, Dave Willis"
36,tt0156901,The Apple,1998,Massoumeh Naderi,Zahra Naderi,Ghorban Ali Naderi,"Iran, France, Netherlands",Samira Makhmalbaf,Drama,,,"After twelve years of imprisonment by their own parents, two sisters are finally released by social workers to face the outside world for the first time.",https://m.media-amazon.com/images/M/MV5BZDAzODQwNjYtZGE2OS00MTU2LWI3YjItNGZjN2JmM2RjNWJmXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_SX300.jpg,N/A,7.2/10,85%,,19 Feb 1999,86 min,Mohsen Makhmalbaf
37,tt0280590,Mr. Deeds,2002,Adam Sandler,Winona Ryder,John Turturro,United States,Steven Brill,Comedy,Romance,,"When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on Deeds. Of course, Deeds' sincere naiveté has Babe falling in love with him instead. Ultimately, Deeds comes to find that money truly has the power to change things, but it doesn't necessarily need to change him.",https://m.media-amazon.com/images/M/MV5BMTU3NTE3M2QtNWQ0MS00ZmRkLWIwNTMtOTA0ZGM5N2UwMWNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,5.8/10,22%,24/100,28 Jun 2002,96 min,"Clarence Budington Kelland, Robert Riskin, Tim Herlihy"
38,tt0217505,Gangs of New York,2002,Leonardo DiCaprio,Cameron Diaz,Daniel Day-Lewis,"United States, Italy",Martin Scorsese,Crime,Drama,,"In the god-forsaken district of early-1860s Lower Manhattan known as the Five Points, the vicious Nativist, Bill ""The Butcher"" Cutting, is the supreme overlord of an area riddled with crime, prostitution, theft and murder, as the American Civil War still rages on. Sixteen whole years after the brutal murder of his father from Bill's blood-stained hands, an orphaned Irish-American, Amsterdam Vallon, returns to this melting pot of corruption to avenge his untimely death; however, a lot has changed since then. Who can remember the once-innocent boy and now a young man bent on revenge, who works his way up to the hierarchy of Five Points? Will Amsterdam ever taste the dangerous but sweet fruit of retribution?",https://m.media-amazon.com/images/M/MV5BNDg3MmI1ZDYtMDZjYi00ZWRlLTk4NzEtZjY4Y2U0NjE5YmRiXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_SX300.jpg,R,7.5/10,73%,72/100,20 Dec 2002,167 min,"Jay Cocks, Steven Zaillian, Kenneth Lonergan"
